car,weight,bhp,msrp,worth,mods,mpg,tires
c5z (track),3200,400,50000,15000,5000,20,500
c7 (z51),3300,450,60000,45000,5000,30,500
1le (6th gen),3600,450,50000,45000,5000,30,500
1le (5th gen),3800,400,50000,30000,5000,30,500
cayman,3000,320,55000,40000,10000,20,400
frs (track),2650,240,25000,13000,10000,30,250
frs (JRSC),2750,300,25000,13000,20000,28,300
wrx (tuned),3250,400,25000,20000,5000,28,300
s2k (track),2700,260,30000,18000,10000,20,250
nc miata (race),2200,175,25000,16000,10000,30,200
na miata (race),2200,175,25000,5000,10000,30,200
viper,3200,415,100000,30000,10000,10,800
